objectId,geoPosition_____type,geoPosition__latitude,geoPosition__longitude,countryCode,postalCode,placeName,adminName1,adminName2,adminName3
lJ6X0Hkj6U,GeoPoint,19.45,72.75,IN,401302,Arnala,Maharashtra,Thane,Vasai
MCNWfcy78U,GeoPoint,19.4559,72.8114,IN,401303,Virar,Maharashtra,Thane,Vasai
9ebNKGeiUD,GeoPoint,19.467,72.8546,IN,401303,Tilher,Maharashtra,Thane,Vasai
r47wzNydP5,GeoPoint,19.5992,73.1509,IN,401303,Saiwan,Maharashtra,Thane,Vasai
qvJ8a2UfQf,GeoPoint,19.467,72.8546,IN,401303,Parol,Maharashtra,Thane,Vasai
N3OX08geKl,GeoPoint,19.4782,72.8979,IN,401303,Mandvi,Maharashtra,Thane,Vasai
5ujkEV2JtF,GeoPoint,19.467,72.8546,IN,401303,Khaniwade,Maharashtra,Thane,Palghar
1FSfK0VLO2,GeoPoint,19.467,72.8546,IN,401303,Dahtsar T,Maharashtra,Thane,Palghar
xMRs4qNdy6,GeoPoint,19.467,72.8546,IN,401303,Chandansar,Maharashtra,Thane,Vasai
JxGRj5Ak9E,GeoPoint,19.467,72.8546,IN,401303,Bolinj,Maharashtra,Thane,Vasai
5mDrXap4Kp,GeoPoint,19.467,72.8546,IN,401303,Bhatane,Maharashtra,Thane,Vasai
ep76EuMj8N,GeoPoint,19.4004,72.7651,IN,401304,Nirmal (Thane),Maharashtra,Thane,Vasai
rnQLGieBb9,GeoPoint,19.5992,73.1509,IN,401304,Kalamb,Maharashtra,Thane,Vasai
2fP3Slucdw,GeoPoint,19.3291,73.109,IN,401305,Virar East,Maharashtra,Thane,Vasai
Qtqwg1VXqt,GeoPoint,19.2259,72.8782,IN,401401,Kelwa Road,Maharashtra,Thane,Palghar
fLW30bbbJM,GeoPoint,19.2259,72.8782,IN,401401,Kelwa (Thane),Maharashtra,Thane,Palghar
IcMk3gMzEK,GeoPoint,19.2259,72.8782,IN,401402,Kelwa-mahim,Maharashtra,Thane,Palghar
7VrxbMz7AH,GeoPoint,19.7244,72.9097,IN,401403,Somta,Maharashtra,Thane,Palghar
VEpYmKwSgW,GeoPoint,19.7244,72.9097,IN,401403,Maswan,Maharashtra,Thane,Palghar
Ff3Npw6xw5,GeoPoint,19.7244,72.9097,IN,401403,Manor,Maharashtra,Thane,Palghar
H9OVKQyRVz,GeoPoint,19.7244,72.9097,IN,401403,Kurze,Maharashtra,Thane,Vikramgad
rr8PWsBeV7,GeoPoint,19.5992,73.1509,IN,401403,Kondhan,Maharashtra,Thane,Palghar
XW4w0V9F1J,GeoPoint,19.7244,72.9097,IN,401403,Kev,Maharashtra,Thane,Vikramgad
tmfUcltqyv,GeoPoint,19.7244,72.9097,IN,401403,Govade,Maharashtra,Thane,Palghar
ZxCKC25FbD,GeoPoint,19.7244,72.9097,IN,401403,Durves,Maharashtra,Thane,Palghar
YIDLNMeGHi,GeoPoint,19.7244,72.9097,IN,401403,Bhopoli,Maharashtra,Thane,Vikramgad
GIefjNaAcq,GeoPoint,19.7244,72.9097,IN,401403,Bandhan,Maharashtra,Thane,Palghar
N4w1Y875yt,GeoPoint,19.7244,72.9097,IN,401403,Audhani,Maharashtra,Thane,Palghar
rytIMblBNC,GeoPoint,19.2259,72.8782,IN,401404,Palghar H.O,Maharashtra,Thane,Palghar
6LdNxltGCE,GeoPoint,19.0597,72.8677,IN,401405,Veur,Maharashtra,Thane,Vasai
v78nd0vfWE,GeoPoint,19.0597,72.8677,IN,401405,Tembhode,Maharashtra,Thane,Vasai
OCn1BW1Pl1,GeoPoint,19.6959,72.7153,IN,401405,Shirgaon,Maharashtra,Thane,Palghar
wIdtlOkeHC,GeoPoint,19.724,72.6997,IN,401405,Satpati,Maharashtra,Thane,Palghar
YETD7aiKT3,GeoPoint,19.0597,72.8677,IN,401405,Nihe,Maharashtra,Thane,Palghar
tIBAm0MQTL,GeoPoint,19.0597,72.8677,IN,401405,Nadore,Maharashtra,Thane,Palghar
TMxXzxcjpQ,GeoPoint,19.0597,72.8677,IN,401405,Kharekuran,Maharashtra,Thane,Palghar
cr6X7HEehf,GeoPoint,19.0597,72.8677,IN,401405,Katale,Maharashtra,Thane,Palghar
FcgP9v8Yft,GeoPoint,19.5992,73.1509,IN,401405,Dapoli,Maharashtra,Thane,Palghar
jzqEkEpGeJ,GeoPoint,19.8036,72.756,IN,401501,Umroli,Maharashtra,Thane,Palghar
9Sf8PybxwS,GeoPoint,19.8036,72.756,IN,401501,Shigaon,Maharashtra,Thane,Palghar
51iZZNM6YS,GeoPoint,19.8036,72.756,IN,401501,Sarawali,Maharashtra,Thane,Palghar
HooOcdbACg,GeoPoint,19.8036,72.756,IN,401501,Nandgaon Tarapur,Maharashtra,Thane,Palghar
FCdjqGXi72,GeoPoint,19.8036,72.756,IN,401501,Nanapur,Maharashtra,Thane,Palghar
v1pYIkZqpM,GeoPoint,19.8036,72.756,IN,401501,Murbe,Maharashtra,Thane,Palghar
BPkIGnC95m,GeoPoint,19.5992,73.1509,IN,401501,Mahagaon,Maharashtra,Thane,Palghar
tNQXEKusdF,GeoPoint,19.8036,72.756,IN,401501,Kumbhawali,Maharashtra,Thane,Palghar
ZpSeMIksKq,GeoPoint,19.8036,72.756,IN,401501,Dandi,Maharashtra,Thane,Palghar
v0QeVf5HKY,GeoPoint,19.8036,72.756,IN,401501,Boisar,Maharashtra,Thane,Palghar
3NLqrVbIqU,GeoPoint,19.8036,72.756,IN,401501,Bategaon,Maharashtra,Thane,Palghar
oC7zKUG23l,GeoPoint,19.8036,72.756,IN,401501,Akkarpatti,Maharashtra,Thane,Dahanu
4g64gufq0V,GeoPoint,19.8318,72.8891,IN,401502,Vengani,Maharashtra,Thane,Palghar
dwOQeGmiCS,GeoPoint,19.865,72.6843,IN,401502,Tarapur (Thane),Maharashtra,Thane,Palghar
6Wf6UD83SA,GeoPoint,19.7986,73.094,IN,401502,Kudan,Maharashtra,Thane,Palghar
3qqq9YPSgV,GeoPoint,19.8318,72.8891,IN,401502,Ghiwali,Maharashtra,Thane,Palghar
EFcJSIT4IJ,GeoPoint,19.8318,72.8891,IN,401502,Dahisar Tarapur,Maharashtra,Thane,Palghar
